epoch,accuracy,loss,precision,recall
0,0.2184516191482544,2.830186367034912,0.58890700340271,0.0013517257757484913
1,0.2484067678451538,2.6577470302581787,0.5924713611602783,0.014910171739757061
2,0.2602427899837494,2.5939109325408936,0.5911015272140503,0.029797878116369247
3,0.27225854992866516,2.5413460731506348,0.6055669188499451,0.0443972647190094
4,0.28410953283309937,2.4833691120147705,0.6423267126083374,0.06185736879706383
5,0.2989148795604706,2.4236223697662354,0.6592279672622681,0.07941856980323792
6,0.31442415714263916,2.367823600769043,0.6753976941108704,0.09490912407636642
7,0.33035653829574585,2.310269355773926,0.6934096217155457,0.11165030300617218
8,0.34588828682899475,2.2546143531799316,0.7101896405220032,0.1284513920545578
9,0.360832154750824,2.201456308364868,0.7184208035469055,0.14479193091392517
10,0.3738514184951782,2.1515843868255615,0.7300140857696533,0.16080668568611145
11,0.38622286915779114,2.104372262954712,0.7362991571426392,0.17612500488758087
12,0.3989875018596649,2.0563409328460693,0.742682933807373,0.191548153758049
13,0.4111979901790619,2.010382890701294,0.7505239248275757,0.2065032571554184
14,0.4219481348991394,1.9709827899932861,0.756016194820404,0.2189159244298935
15,0.4334509074687958,1.9298336505889893,0.7597324252128601,0.23259419202804565
16,0.44333237409591675,1.8917640447616577,0.7671524882316589,0.24676671624183655
17,0.4525061249732971,1.8548592329025269,0.7691274881362915,0.25738954544067383
18,0.46149641275405884,1.8234686851501465,0.7740785479545593,0.26988086104393005
19,0.4697752594947815,1.7908978462219238,0.7772718071937561,0.28120389580726624
20,0.4785071909427643,1.7588212490081787,0.7813156843185425,0.290890634059906
21,0.48668867349624634,1.7281296253204346,0.7818201184272766,0.3023110330104828
22,0.49368321895599365,1.701870322227478,0.7858480215072632,0.3112189471721649
23,0.5019171237945557,1.6736785173416138,0.7888354659080505,0.3217594027519226
24,0.5066462755203247,1.65061354637146,0.7906224727630615,0.3294541537761688
25,0.5141612887382507,1.6245802640914917,0.7923255562782288,0.33825722336769104
26,0.5207738876342773,1.5999934673309326,0.794856607913971,0.3471950888633728
27,0.5278657674789429,1.5755246877670288,0.7951486110687256,0.3554627001285553
